Sample_#,CAMPUS,YEAR_x,CNAME_x,DNAME_x,e1_all_docs_n,e1_all_unsatgl_rm,e1_all_approgl_rm,e1_all_meetsgl_rm,e1_all_mastrgl_rm,YEAR_y,CNAME_y,DNAME_y,e2_all_docs_n,e2_all_unsatgl_rm,e2_all_approgl_rm,e2_all_meetsgl_rm,e2_all_mastrgl_rm
1311,152901017,17,LUBBOCK CO JUVE,LUBBOCK ISD,29,89,11,11,0,18,LUBBOCK CO JUVE,LUBBOCK ISD,19,78,22,11,0
1312,152901020,17,CORONADO H S,LUBBOCK ISD,695,45,55,36,5,18,CORONADO H S,LUBBOCK ISD,643,38,62,43,6
1313,152901021,17,ESTACADO H S,LUBBOCK ISD,322,73,27,13,1,18,ESTACADO H S,LUBBOCK ISD,283,65,35,21,1
1314,152901022,17,LUBBOCK H S,LUBBOCK ISD,671,37,63,49,11,18,LUBBOCK H S,LUBBOCK ISD,582,29,71,56,14
1315,152901023,17,MONTEREY H S,LUBBOCK ISD,751,47,53,29,3,18,MONTEREY H S,LUBBOCK ISD,648,39,61,41,6
1316,152901024,17,TALKINGTON SCHO,LUBBOCK ISD,48,0,100,92,31,18,TALKINGTON SCHO,LUBBOCK ISD,40,0,100,100,53
1317,152902001,17,NEW DEAL H S,NEW DEAL ISD,62,38,62,38,5,18,NEW DEAL H S,NEW DEAL ISD,62,34,66,44,3
1318,152903001,17,SLATON H S,SLATON ISD,120,45,55,40,5,18,SLATON H S,SLATON ISD,111,43,57,41,4
1319,152906001,17,LUBBOCK-COOPER,LUBBOCK-COOPER,450,19,81,66,10,18,LUBBOCK-COOPER,LUBBOCK-COOPER,436,17,83,70,13
1320,152906003,17,LUBBOCK-COOPER,LUBBOCK-COOPER,1,,,,,18,LUBBOCK-COOPER,LUBBOCK-COOPER,3,,,,
1321,152907001,17,FRENSHIP H S,FRENSHIP ISD,763,29,71,57,14,18,FRENSHIP H S,FRENSHIP ISD,717,16,84,72,16
1322,152907002,17,REESE EDUCATION,FRENSHIP ISD,13,92,8,0,0,18,REESE EDUCATION,FRENSHIP ISD,23,91,9,4,0
1323,152908001,17,ROOSEVELT H S,ROOSEVELT ISD,79,41,59,34,0,18,ROOSEVELT H S,ROOSEVELT ISD,67,34,66,43,3
1324,152909001,17,SHALLOWATER H S,SHALLOWATER ISD,121,31,69,53,12,18,SHALLOWATER H S,SHALLOWATER ISD,115,19,81,66,11
1325,152910001,17,IDALOU H S,IDALOU ISD,75,20,80,59,5,18,IDALOU H S,IDALOU ISD,67,21,79,63,3
1326,153903001,17,O'DONNELL SCHOO,O'DONNELL ISD,22,55,45,32,0,18,O'DONNELL SCHOO,O'DONNELL ISD,19,47,53,47,5
1327,153904001,17,TAHOKA H S,TAHOKA ISD,47,53,47,30,0,18,TAHOKA H S,TAHOKA ISD,44,43,57,36,0
1328,153905001,17,NEW HOME SCHOOL,NEW HOME ISD,22,23,77,68,14,18,NEW HOME SCHOOL,NEW HOME ISD,24,4,96,83,17
1329,153907001,17,WILSON SCHOOL,WILSON ISD,17,71,29,6,0,18,WILSON SCHOOL,WILSON ISD,17,53,47,18,0
1330,154901001,17,MADISONVILLE H,MADISONVILLE CI,206,34,66,46,2,18,MADISONVILLE H,MADISONVILLE CI,209,38,62,46,6
1331,154903001,17,NORTH ZULCH ELE,NORTH ZULCH ISD,42,60,40,21,0,18,NORTH ZULCH ELE,NORTH ZULCH ISD,29,31,69,45,7
1332,155901002,17,JEFFERSON H S,JEFFERSON ISD,135,48,52,33,2,18,JEFFERSON H S,JEFFERSON ISD,112,28,72,49,0
1333,156902001,17,STANTON H S,STANTON ISD,79,47,53,37,3,18,STANTON H S,STANTON ISD,81,32,68,47,1
1334,156905001,17,GRADY SCHOOL,GRADY ISD,18,22,78,72,0,18,GRADY SCHOOL,GRADY ISD,15,13,87,80,13
1335,157901001,17,MASON H S,MASON ISD,52,21,79,69,13,18,MASON H S,MASON ISD,50,14,86,72,20
1336,158901001,17,BAY CITY H S,BAY CITY ISD,365,65,35,23,2,18,BAY CITY H S,BAY CITY ISD,321,51,49,31,3
1337,158902001,17,TIDEHAVEN H S,TIDEHAVEN ISD,97,33,67,43,5,18,TIDEHAVEN H S,TIDEHAVEN ISD,91,36,64,48,4
1338,158905001,17,PALACIOS H S,PALACIOS ISD,142,37,63,45,6,18,PALACIOS H S,PALACIOS ISD,128,26,74,61,8
1339,158906002,17,VAN VLECK H S,VAN VLECK ISD,96,44,56,36,2,18,VAN VLECK H S,VAN VLECK ISD,106,45,55,36,1
