FID,SDLEA10,NAME,NAME2,E1E2_STAAR,DISTRICT_N,DISTRICT,DISTRICT_C,NCES_DISTR,COLOR,Shape_area,Shape_len,Shape__Area,Shape__Length
947,14730,Comal ISD,Comal,0,46902,046-902,46902,4814730,7,1514274436,313167.7004,2025661838,362098.367
211,14760,Comanche ISD,Comanche,-5,47901,047-901,47901,4814760,4,862705315.5,239105.7931,1205033395,282622.5048
890,14790,Comfort ISD,Comfort,-5,130902,130-902,130902,4814790,1,982301141.3,203750.9754,1319079942,236079.5445
267,14820,Commerce ISD,Commerce,-5,116903,116-903,116903,4814820,3,297168232.4,129672.7435,427465079.9,155550.021
677,14850,Community ISD,Community,-5,43918,043-918,43918,4814850,7,187785771.9,91310.08281,268861551.3,109245.0322
177,14880,Como-Pickton Cons ISD,Como-Pickton Cons,-5,112908,112-908,112908,4814880,3,312600513.7,121622.3884,447541653.4,145483.1447
339,14920,Comstock ISD,Comstock,-5,233903,233-903,233903,4814920,1,5954932174,443560.8547,7992545353,513647.9193
971,14970,Connally ISD,Connally,-5,161921,161-921,161921,4814970,1,84606223.86,54750.16069,117617955.1,64541.2878
761,15000,Conroe ISD,Conroe,0,170902,170-902,170902,4815000,2,895672345,220796.3147,1209158537,256461.8015
871,15120,Coolidge ISD,Coolidge,-5,147901,147-901,147901,4815120,2,365801289,117435.4307,509207751.7,138499.3194
687,15150,Cooper ISD,Cooper,-5,60902,060-902,60902,4815150,5,604194653.3,262089.8443,871216760.3,314730.2139
996,15210,Coppell ISD,Coppell,1,57922,057-922,57922,4815210,3,64236657.62,44347.13098,91777925.56,53006.29143
551,15240,Copperas Cove ISD,Copperas Cove,-5,50910,050-910,50910,4815240,5,168419476.3,82696.48936,231643416.4,97038.82687
946,15270,Corpus Christi ISD,Corpus Christi,1,178904,178-904,178904,4815270,5,434035058.4,143638.6367,557027907.4,162720.2494
802,15300,Corrigan-Camden ISD,Corrigan-Camden,-5,187904,187-904,187904,4815300,3,724992908.5,154745.3394,993860481.3,181190.2646
407,15330,Corsicana ISD,Corsicana,-5,175903,175-903,175903,4815330,6,584863561.1,234440.5861,819693613.6,277487.6385
895,15360,Cotton Center ISD,Cotton Center,-5,95902,095-902,95902,4815360,5,340899918,113173.191,498068821.1,136868.7622
702,15400,Cotulla ISD,Cotulla,-5,142901,142-901,142901,4815400,1,3602257872,268041.7636,4674664816,305549.2041
819,15420,Coupland ISD,Coupland,-5,246914,246-914,246914,4815420,6,110143278.8,84561.15753,149320689.7,98463.79575
861,15480,Covington ISD,Covington,-5,109903,109-903,109903,4815480,4,111419958,76484.83764,156513088.6,90646.84781
624,15510,Crandall ISD,Crandall,0,129901,129-901,129901,4815510,3,218061930.2,81660.45851,309220029.1,97276.78709
191,15540,Crane ISD,Crane,-5,52901,052-901,52901,4815540,7,2026397455,250855.3904,2803565824,295045.8418
80,15570,Cranfills Gap ISD,Cranfills Gap,-5,18908,018-908,18908,4815570,2,376350762.6,185031.2637,524476955.7,218466.8987
184,15600,Crawford ISD,Crawford,-5,161901,161-901,161901,4815600,5,295063721.2,136108.6143,409273173.1,160281.8897
142,15690,Crockett County Cons CSD,Crockett County Cons CSD,-5,53001,053-001,53001,4815690,3,7240638863,514706.5877,9870994053,600877.0152
152,15720,Crockett ISD,Crockett,0,113901,113-901,113901,4815720,2,589713210.7,227645.3905,813416345.6,267348.93
754,15750,Crosby ISD,Crosby,0,101906,101-906,101906,4815750,5,209431574.3,71390.03256,280777695.6,82625.86449
358,1,Crosbyton Cons ISD,Crosbyton Cons,-5,54901,054-901,54901,4800001,3,1220588326,191989.3077,1768275444,231164.6029
102,15810,Cross Plains ISD,Cross Plains,-5,30901,030-901,30901,4815810,7,900380601.6,192772.0159,1264443740,228434.6352
478,15840,Cross Roads ISD,Cross Roads,-5,107904,107-904,107904,4815840,4,287237754.6,95394.20164,402916910,112972.3111
253,15870,Crowell ISD,Crowell,0,78901,078-901,78901,4815870,2,2296653601,278696.4547,3351071738,336752.9934
643,15910,Crowley ISD,Crowley,-5,220912,220-912,220912,4815910,4,149625242.3,77826.59915,212197423.1,92718.75351
204,15930,Crystal City ISD,Crystal City,-5,254901,254-901,254901,4815930,6,1665798261,225573.3258,2180668159,257960.9941
518,15960,Cuero ISD,Cuero,-5,62901,062-901,62901,4815960,5,692968645.2,227343.8164,914218590.4,261111.6708
202,15990,Culberson County-Allamore ISD,Culberson County-Allamore,-5,55901,055-901,55901,4815990,4,12537514520,503662.5808,17332632442,592347.0679
261,16020,Cumby ISD,Cumby,-5,112905,112-905,112905,4816020,7,176671947.2,103089.5484,253505293,123533.7057
115,16080,Cushing ISD,Cushing,-5,174902,174-902,174902,4816080,3,390673659.6,150621.8699,544421671.3,177806.6295
